Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-August-2020,57.00,57.50,56.00,56.40,56.748166942045918049,1446490,3276,82085656.00,400077,27.66,1.50,-0.60
24-August-2020,56.25,57.10,56.00,56.70,56.544890583158056550,3421731,9529,193481405.00,1109969,32.44,1.10,0.45
21-August-2020,54.90,56.20,54.65,55.90,55.613201382414493382,4260372,10822,236932926.00,1622572,38.09,1.55,1.00
20-August-2020,54.60,54.80,53.90,54.60,54.454337121185329370,1413818,2382,76988522.00,289942,20.51,0.90,0.00
19-August-2020,53.65,55.80,53.65,54.90,55.048534586604477833,2696304,4923,148427584.00,631536,23.42,2.15,1.25
18-August-2020,53.20,53.75,52.50,53.50,53.084317797007451038,725268,1741,38500357.00,205427,28.32,1.25,0.30
17-August-2020,53.20,53.30,52.15,52.85,52.665028731928261605,1334404,5083,70276425.00,425836,31.91,1.15,-0.35
14-August-2020,54.40,54.50,52.00,52.60,53.431532087960750952,858110,2289,45850132.00,281399,32.79,2.50,-1.80
13-August-2020,54.10,55.00,53.85,53.95,54.362000614328230025,973421,1821,52917113.00,222643,22.87,1.15,-0.15
12-August-2020,54.45,54.45,53.50,54.00,54.087259161872633096,795607,1809,43032202.00,228309,28.70,0.95,-0.45
11-August-2020,54.10,54.50,53.60,54.25,54.104847929030160149,1574528,5193,85189598.00,823211,52.28,0.90,0.15
10-August-2020,55.05,55.30,53.65,53.90,54.437187693196967737,920369,2615,50102300.00,312677,33.97,1.65,-1.15
7-August-2020,52.65,55.00,52.30,54.60,53.808827551824349055,1773153,4562,95411284.00,464508,26.20,2.70,1.95
6-August-2020,53.00,53.30,51.70,52.45,52.473162857057338694,7517175,5409,394449948.00,5474491,72.83,1.60,-0.55
5-August-2020,52.45,53.30,52.20,52.35,52.682671003666665365,2560910,4397,134915579.00,675780,26.39,1.10,-0.10
4-August-2020,53.25,53.25,52.10,52.30,52.516643089134423149,704767,1779,37011997.00,166806,23.67,1.15,-0.95
3-August-2020,53.50,54.20,52.30,52.45,52.950593870549017934,820465,2086,43444109.00,240822,29.35,1.90,-1.05
31-July-2020,54.35,54.50,53.10,53.85,53.791581262810578413,700105,1814,37659755.00,140148,20.02,1.40,-0.50
30-July-2020,55.45,56.30,53.95,54.15,55.091415872185857152,642558,1916,35399430.00,160736,25.02,2.35,-1.30
29-July-2020,55.60,56.85,55.35,55.80,56.131574497852497849,1206518,2077,67723755.00,170107,14.10,1.50,0.20
28-July-2020,56.00,56.85,55.25,55.55,56.021546425157167977,1243733,4549,69675846.00,364042,29.27,1.60,-0.45
27-July-2020,57.90,57.90,55.10,56.00,56.242696414018336397,1002487,2694,56382572.00,246814,24.62,2.80,-1.90
24-July-2020,56.75,58.60,55.40,57.50,56.936235449931780945,1751710,4010,99735773.00,296849,16.95,3.20,0.75
23-July-2020,57.30,57.70,56.30,57.05,57.064086371594434376,1627850,4948,92891773.00,392839,24.13,1.40,-0.25
22-July-2020,54.80,57.20,53.15,56.65,55.306654495330942111,2137262,4968,118204811.00,433887,20.30,4.05,1.85
21-July-2020,54.80,54.80,53.80,54.45,54.239074746702351366,1020045,2572,55326297.00,278006,27.25,1.00,-0.35
20-July-2020,52.95,54.25,52.30,53.65,53.296035069092281177,2904666,7615,154807181.00,1282893,44.17,1.95,0.70
17-July-2020,53.10,53.50,51.20,52.10,52.170756696297378118,2245868,6752,117168633.00,564435,25.13,2.30,-1.00
16-July-2020,51.95,53.70,50.55,52.05,52.338090626226288369,4426467,10836,231672831.00,927102,20.94,3.15,0.10
15-July-2020,52.15,53.00,49.35,49.85,51.045258951744665061,2005084,4382,102350032.00,379611,18.93,3.65,-2.30
14-July-2020,52.50,53.15,50.65,51.10,51.524469425101599448,1683080,5916,86719804.00,527245,31.33,2.50,-1.40
13-July-2020,54.70,54.90,52.80,53.10,53.338178143879230711,1176723,1987,62764261.00,312624,26.57,2.10,-1.60
10-July-2020,54.95,56.00,53.95,54.20,54.719083541827883989,1053185,1952,57629318.00,217124,20.62,2.05,-0.75
9-July-2020,55.40,55.60,54.50,55.20,54.922029749802261738,1083503,1871,59508184.00,175624,16.21,1.10,-0.20
8-July-2020,56.00,56.20,54.15,54.40,55.441919109275338853,1161122,2616,64374832.00,267990,23.08,2.05,-1.60
7-July-2020,54.20,56.20,52.25,55.90,54.835522644389939167,2820522,4952,154664798.00,455675,16.16,3.95,1.70
6-July-2020,53.80,54.70,53.55,53.65,54.154865782459703007,882448,2204,47788853.00,173393,19.65,1.15,-0.15
3-July-2020,54.00,54.00,52.55,53.00,52.967188209197052568,742477,1626,39326919.00,152175,20.50,1.45,-1.00
2-July-2020,53.80,54.25,53.30,53.55,53.849950022538855026,918414,2066,49456548.00,165897,18.06,0.95,-0.25
1-July-2020,50.75,53.35,50.75,53.15,52.622473241122882159,1897688,5531,99861036.00,749305,39.49,2.60,2.40
30-June-2020,52.25,52.80,50.70,51.00,51.696598076496739724,1181802,3794,61095143.00,352327,29.81,2.10,-1.25
